n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
26,2413,3,2415,60.0,"{'493': 3, '541': 1, '497': 1, '414': 1, '439': 1, '505': 1, '500': 2, '440': 2, '496': 1, '498': 6, '494': 2, '540': 1, '495': 3, '441': 1}",1,0,1823,2415,Casello 9,12.052273,45.417496,12.053779,45.411728,12.052273,45.417496
96,1049,3,2416,62.5,"{'479': 12, '358': 6, '370': 7, '352': 15, '359': 1, '360': 2, '354': 21, '357': 1, '476': 1, '480': 3, '482': 1, '483': 1, '636': 1, '477': 3, '442': 6, '356': 6, '376': 1, '410': 1, '475': 1, '550': 1, '413': 1, '411': 1, '549': 1, '355': 2}",1,0,1824,2416,Localita' Pecora,12.060034,45.418938,12.072703,45.421734,12.060034,45.418938
71,1711,3,2417,60.0,"{'383': 1, '401': 4, '402': 1, '381': 6, '388': 2, '400': 1, '399': 1, '385': 1, '445': 1, '380': 2, '403': 1, '387': 1, '390': 1, '635': 1, '408': 1, '379': 22, '386': 2, '389': 2, '409': 2, '384': 2, '382': 14, '405': 1, '565': 1}",1,0,1825,2417,Localita' Pecora,12.059919,45.419174,12.050804,45.418388,12.059919,45.419174
22,2415,3,2417,60.0,"{'495': 3, '493': 3, '500': 2, '440': 2, '498': 6, '497': 1, '494': 2, '414': 1, '439': 1, '505': 1}",1,0,1825,2417,Localita' Pecora,12.059919,45.419174,12.052273,45.417496,12.059919,45.419174
110,2313,3,2418,82.9090909090909,"{'358': 6, '452': 3, '557': 1, '368': 3, '371': 1, '360': 2, '354': 21, '372': 1, '362': 1, '357': 1, '367': 23, '457': 4, '364': 1, '451': 1, '356': 6, '377': 1, '644': 3, '373': 3, '352': 15, '359': 1, '361': 4, '365': 6, '355': 2}",1,0,1826,2418,Dolo Centro,12.074698,45.423599,12.08131,45.425579,12.074698,45.423599
23,2459,3,2418,0.0,"{'529': 1, '527': 1, '542': 8, '544': 2, '528': 11}",1,0,1826,2418,Dolo Centro,12.074698,45.423599,12.074677,45.426273,12.074698,45.423599
37,2316,3,2418,60.0,"{'553': 17, '560': 6, '443': 1, '448': 1, '558': 1, '449': 2, '549': 1, '555': 1, '445': 1, '550': 1, '444': 1, '453': 2, '446': 2}",1,0,1826,2418,Dolo Centro,12.074698,45.423599,12.079507,45.42157,12.074698,45.423599
19,2318,3,2418,60.0,"{'417': 1, '425': 1, '422': 2, '427': 1, '418': 4, '426': 3, '419': 7}",1,0,1826,2418,Dolo Centro,12.074698,45.423599,12.078527,45.421078,12.074698,45.423599
4,399,3,2418,420.0,{'648': 4},1,0,1826,2418,Dolo Centro,12.074698,45.423599,12.071847,45.453373,12.074698,45.423599
93,1048,3,2419,41.29032258064516,"{'383': 1, '401': 4, '493': 3, '380': 2, '505': 1, '402': 1, '381': 6, '388': 2, '400': 1, '635': 1, '385': 1, '445': 1, '440': 2, '498': 6, '494': 2, '403': 1, '495': 3, '387': 1, '439': 1, '390': 1, '379': 22, '408': 1, '497': 1, '382': 14, '414': 1, '399': 1, '386': 2, '389': 2, '409': 2, '384': 2, '565': 1, '405': 1, '500': 2}",1,0,1827,2419,Dolo Centro,12.074477,45.423615,12.071504,45.421013,12.074477,45.423615
